show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s44,Movie,Crimson Memory 44,,"Shah Rukh Khan, Song Kang-ho, Riz Ahmed, Viola Davis, Deepika Padukone",France,"July 18, 2014",2007,TV-Y7,165 min,Anime Series,A movie about identity set in France.
s45,Movie,Crimson City 45,Ava DuVernay,"Lupita Nyong'o, Florence Pugh",Turkey,"May 22, 2019",2007,PG-13,121 min,"Independent Movies, British TV Shows, Documentaries",A movie about survival set in Turkey.
s46,Movie,Eternal Whisper 46,Pedro Almodovar,"Penelope Cruz, Mahershala Ali, Song Kang-ho, Oscar Isaac",Turkey,"August 10, 2018",2014,TV-PG,171 min,Documentaries,A movie about identity set in Turkey.
s47,TV Show,Eternal Project 47,,"Zendaya, Tom Hardy",Turkey,"June 18, 2011",1994,PG-13,6 Seasons,"Comedies, Crime TV Shows",A tv show about power set in Turkey.
s48,TV Show,Broken Whisper 48,Spike Lee,"Shah Rukh Khan, Song Kang-ho",Mexico,"January 10, 2010",2017,TV-14,8 Season,"Dramas, International Movies",A tv show about family set in Mexico.
s49,TV Show,Hidden Whisper 49,Anurag Kashyap,"Idris Elba, Shah Rukh Khan, Zendaya, Viola Davis, Oscar Isaac",Indonesia,"February 28, 2019",1999,PG-13,8 Season,Anime Series,A tv show about family set in Indonesia.
s50,Movie,Silent Kingdom 50,Denis Villeneuve,"Riz Ahmed, Mahershala Ali, Saoirse Ronan, Deepika Padukone",South Korea,"November 02, 2018",1996,NR,136 min,"Sci-Fi & Fantasy, Music & Musicals, Dramas",A movie about power set in South Korea.
s51,Movie,Lost Code 51,Ava DuVernay,"Oscar Isaac, Florence Pugh, Zendaya, Song Kang-ho, Daniel Kaluuya",Spain,"December 04, 2021",2006,TV-PG,69 min,"International Movies, Sci-Fi & Fantasy, Anime Series",A movie about love set in Spain.
s52,Movie,Golden Promise 52,,"Idris Elba, Song Kang-ho, Shah Rukh Khan, Florence Pugh, Lupita Nyong'o",Brazil,"February 10, 2014",2000,TV-Y7,120 min,"Crime TV Shows, Action & Adventure, Anime Series",A movie about love set in Brazil.
s53,Movie,Crimson Project 53,Park Chan-wook,"Shah Rukh Khan, Florence Pugh, Penelope Cruz, Tom Hardy",Canada,"November 17, 2013",2014,PG,72 min,"Horror Movies, British TV Shows, Dramas",A movie about identity set in Canada.
s54,TV Show,Frozen Whisper 54,Bong Joon-ho,"Oscar Isaac, Tilda Swinton, Penelope Cruz, Viola Davis, Shah Rukh Khan",,"January 18, 2019",1997,G,3 Season,"Reality TV, Stand-Up Comedy",A tv show about identity set in an unnamed place.
s55,TV Show,Silent City 55,Christopher Nolan,"Lupita Nyong'o, Tom Hardy, Mahershala Ali, Idris Elba, Song Kang-ho",Spain,"March 24, 2010",2013,PG,1 Season,Action & Adventure,A tv show about survival set in Spain.
s56,Movie,Crimson Hour 56,Martin Scorsese,,France,"August 08, 2012",1994,G,98 min,"Thrillers, Horror Movies, Crime TV Shows",A movie about crime set in France.
s57,TV Show,Velvet Empire 57,Anurag Kashyap,"Idris Elba, Viola Davis, Tilda Swinton, Tom Hardy",Brazil,"May 03, 2013",2010,,5 Season,"Stand-Up Comedy, Korean TV Shows, Action & Adventure",A tv show about power set in Brazil.
s58,Movie,Wild Truth 58,Mira Nair,"Viola Davis, Mahershala Ali, Florence Pugh",Nigeria,"September 12, 2008",1993,TV-Y,154 min,"Action & Adventure, British TV Shows, Anime Series",A movie about love set in Nigeria.
s59,TV Show,Eternal Code 59,,"Florence Pugh, Oscar Isaac, Lupita Nyong'o, Saoirse Ronan",Indonesia,"July 26, 2010",2003,R,7 Season,"TV Comedies, Stand-Up Comedy",A tv show about power set in Indonesia.
s60,Movie,Broken Whisper 60,Denis Villeneuve,"Shah Rukh Khan, Viola Davis, Riz Ahmed, Zendaya, Florence Pugh",Brazil,"June 23, 2020",1993,G,188 min,"Action & Adventure, Stand-Up Comedy",A movie about family set in Brazil.
s61,TV Show,Sacred Shadow 61,Ava DuVernay,,Mexico,"December 17, 2020",2003,TV-Y7,4 Seasons,"Reality TV, TV Dramas",A tv show about love set in Mexico.
s62,TV Show,Velvet Garden 62,Pedro Almodovar,"Lupita Nyong'o, Tom Hardy",Mexico,"November 15, 2015",1990,TV-PG,7 Season,"Dramas, Comedies, Korean TV Shows",A tv show about crime set in Mexico.
s63,Movie,Wild Whisper 63,,"Shah Rukh Khan, Zendaya, Tom Hardy, Daniel Kaluuya",Indonesia,"October 30, 2009",2007,TV-Y,169 min,"Anime Series, Stand-Up Comedy, Children & Family Movies",A movie about crime set in Indonesia.
s64,TV Show,Midnight Whisper 64,Greta Gerwig,"Oscar Isaac, Tom Hardy, Song Kang-ho, Penelope Cruz, Daniel Kaluuya",,"September 26, 2012",1998,PG-13,6 Season,"Stand-Up Comedy, Romantic Movies",A tv show about crime set in an unnamed place.
s65,Movie,Golden Garden 65,Park Chan-wook,"Florence Pugh, Riz Ahmed",Turkey,,1994,NR,154 min,"TV Comedies, Stand-Up Comedy, Sci-Fi & Fantasy",A movie about love set in Turkey.
s66,Movie,Eternal Promise 66,Mira Nair,"Shah Rukh Khan, Penelope Cruz, Riz Ahmed, Viola Davis",Philippines,"October 06, 2009",2015,PG,101 min,"Romantic Movies, Comedies",A movie about identity set in Philippines.
s67,Movie,Frozen Legacy 67,,"Saoirse Ronan, Song Kang-ho, Viola Davis, Shah Rukh Khan",Japan,"September 09, 2009",2001,TV-Y7,163 min,"Independent Movies, Anime Series, Crime TV Shows",A movie about power set in Japan.
s68,Movie,Wild Kingdom 68,Park Chan-wook,"Viola Davis, Idris Elba, Lupita Nyong'o, Daniel Kaluuya",Egypt,"April 08, 2016",2008,TV-14,197 min,"TV Comedies, Anime Series, Reality TV",A movie about power set in Egypt.
s69,TV Show,Wild City 69,Park Chan-wook,"Saoirse Ronan, Tom Hardy, Deepika Padukone, Viola Davis, Idris Elba",United Kingdom,"November 14, 2011",1992,TV-Y7,8 Seasons,"Romantic Movies, TV Dramas, Independent Movies",A tv show about family set in United Kingdom.
s70,Movie,Sacred Whisper 70,Martin Scorsese,"Shah Rukh Khan, Idris Elba, Viola Davis, Lupita Nyong'o",Mexico,"July 08, 2021",1999,NR,81 min,"Sci-Fi & Fantasy, TV Comedies",A movie about crime set in Mexico.
s71,Movie,Midnight Storm 71,Park Chan-wook,"Shah Rukh Khan, Tilda Swinton, Zendaya",Brazil,,2009,R,132 min,"Thrillers, Horror Movies",A movie about crime set in Brazil.
s72,Movie,Hidden Project 72,Pedro Almodovar,"Tilda Swinton, Zendaya",France,"June 17, 2011",2000,NR,87 min,"Anime Series, International Movies, Stand-Up Comedy",A movie about family set in France.
s73,Movie,Crimson Heart 73,Ava DuVernay,"Deepika Padukone, Saoirse Ronan, Florence Pugh",South Korea,"October 16, 2020",2018,PG-13,142 min,"Korean TV Shows, Stand-Up Comedy, Romantic Movies",A movie about crime set in South Korea.
s74,TV Show,Silent Project 74,Park Chan-wook,"Song Kang-ho, Mahershala Ali, Riz Ahmed, Lupita Nyong'o",Mexico,"August 06, 2011",2007,G,3 Seasons,Horror Movies,A tv show about survival set in Mexico.
s75,TV Show,Bright Empire 75,Hayao Miyazaki,"Florence Pugh, Viola Davis, Idris Elba",Australia,"July 09, 2015",1999,PG-13,8 Seasons,British TV Shows,A tv show about survival set in Australia.
s76,Movie,Bright Kingdom 76,,"Riz Ahmed, Viola Davis, Florence Pugh",Mexico,"May 07, 2013",2016,NR,162 min,Action & Adventure,A movie about survival set in Mexico.
s77,Movie,Lost Hour 77,Bong Joon-ho,"Riz Ahmed, Tom Hardy, Oscar Isaac, Idris Elba",Turkey,"December 02, 2009",2013,G,184 min,"Korean TV Shows, Reality TV, Dramas",A movie about survival set in Turkey.
s78,TV Show,Lost Hour 78,Denis Villeneuve,"Mahershala Ali, Florence Pugh",,"April 29, 2010",2011,PG,9 Season,"Romantic Movies, Anime Series, British TV Shows",A tv show about power set in an unnamed place.
s79,Movie,Silent Kingdom 79,Spike Lee,,South Korea,"January 29, 2015",2009,G,166 min,"International Movies, Thrillers",A movie about family set in South Korea.
s80,Movie,Sacred Empire 80,Denis Villeneuve,"Riz Ahmed, Zendaya, Penelope Cruz, Mahershala Ali",Italy,"March 10, 2012",2021,PG,177 min,"Comedies, Stand-Up Comedy",A movie about love set in Italy.
s81,Movie,Dark Promise 81,Denis Villeneuve,"Oscar Isaac, Saoirse Ronan, Deepika Padukone, Daniel Kaluuya",Japan,"November 19, 2015",2018,PG,156 min,"International Movies, Comedies",A movie about power set in Japan.
s82,Movie,Eternal Legacy 82,Park Chan-wook,"Saoirse Ronan, Riz Ahmed",Egypt,"July 04, 2009",2005,PG,137 min,"Independent Movies, International Movies",A movie about identity set in Egypt.
s83,Movie,Wild Whisper 83,Christopher Nolan,"Florence Pugh, Idris Elba, Tilda Swinton, Saoirse Ronan",Canada,,2001,TV-Y,188 min,Children & Family Movies,A movie about family set in Canada.
s84,TV Show,Crimson Code 84,Spike Lee,"Shah Rukh Khan, Deepika Padukone, Daniel Kaluuya",Egypt,"March 03, 2015",2012,G,9 Season,"Romantic Movies, Music & Musicals",A tv show about family set in Egypt.
s85,Movie,Midnight Garden 85,Bong Joon-ho,"Mahershala Ali, Lupita Nyong'o",Egypt,"May 16, 2020",1998,TV-14,61 min,"TV Comedies, British TV Shows",A movie about identity set in Egypt.
s86,Movie,Broken Project 86,Anurag Kashyap,"Zendaya, Deepika Padukone",Brazil,"May 13, 2020",2001,TV-PG,155 min,"International Movies, Action & Adventure, Korean TV Shows",A movie about crime set in Brazil.
s87,Movie,Silent Whisper 87,Bong Joon-ho,"Shah Rukh Khan, Saoirse Ronan, Song Kang-ho, Tilda Swinton",Germany,"October 16, 2014",1995,TV-PG,196 min,"Documentaries, Romantic Movies, Crime TV Shows",A movie about identity set in Germany.
s88,Movie,Dark Empire 88,,"Penelope Cruz, Florence Pugh, Oscar Isaac, Daniel Kaluuya",United States,"March 27, 2020",2008,PG-13,168 min,TV Comedies,A movie about family set in United States.
s89,Movie,Golden Empire 89,,"Penelope Cruz, Idris Elba, Oscar Isaac, Shah Rukh Khan, Zendaya",Australia,"September 30, 2015",2015,PG,176 min,"Action & Adventure, Crime TV Shows, Horror Movies",A movie about survival set in Australia.
s90,Movie,Wild Garden 90,,,Indonesia,"August 01, 2011",2010,PG,93 min,British TV Shows,A movie about identity set in Indonesia.
s91,Movie,Bright Storm 91,Christopher Nolan,"Deepika Padukone, Song Kang-ho, Oscar Isaac, Idris Elba, Tom Hardy",,"July 22, 2018",2008,TV-14,155 min,Children & Family Movies,A movie about power set in an unnamed place.
s92,Movie,Broken Whisper 92,,,Brazil,"August 25, 2009",2014,G,116 min,"Music & Musicals, Action & Adventure, Documentaries",A movie about love set in Brazil.
s93,Movie,Sacred Whisper 93,Denis Villeneuve,"Florence Pugh, Lupita Nyong'o, Tom Hardy",,"June 21, 2015",2020,TV-PG,200 min,"Documentaries, Crime TV Shows, Independent Movies",A movie about crime set in an unnamed place.
s94,Movie,Velvet Memory 94,Mira Nair,"Oscar Isaac, Deepika Padukone, Riz Ahmed, Tom Hardy, Idris Elba",Canada,"February 02, 2021",2009,TV-MA,197 min,"Children & Family Movies, Independent Movies",A movie about identity set in Canada.
s95,Movie,Lost Code 95,Pedro Almodovar,"Saoirse Ronan, Riz Ahmed, Tilda Swinton, Song Kang-ho, Tom Hardy",Canada,"November 21, 2017",2010,TV-Y,97 min,"Korean TV Shows, British TV Shows",A movie about power set in Canada.
s96,TV Show,Golden Promise 96,Pedro Almodovar,"Florence Pugh, Idris Elba, Shah Rukh Khan, Deepika Padukone, Lupita Nyong'o",Brazil,"December 05, 2013",2020,R,5 Seasons,Sci-Fi & Fantasy,A tv show about family set in Brazil.
s97,TV Show,Golden Memory 97,Spike Lee,"Oscar Isaac, Viola Davis, Daniel Kaluuya, Tilda Swinton",Italy,"April 14, 2011",2008,TV-14,6 Seasons,"Children & Family Movies, British TV Shows, Thrillers",A tv show about crime set in Italy.
s98,TV Show,Hidden City 98,Greta Gerwig,"Deepika Padukone, Tom Hardy, Tilda Swinton",Spain,"March 06, 2009",1996,TV-Y7,2 Seasons,Dramas,A tv show about identity set in Spain.
s99,TV Show,Silent Shadow 99,Spike Lee,"Oscar Isaac, Idris Elba, Saoirse Ronan",United Kingdom,"March 17, 2013",1992,TV-PG,7 Seasons,International Movies,A tv show about survival set in United Kingdom.
s100,TV Show,Silent City 100,Greta Gerwig,"Oscar Isaac, Daniel Kaluuya",Australia,"March 08, 2020",2021,TV-PG,9 Seasons,Action & Adventure,A tv show about family set in Australia.
s101,Movie,Wild Hour 101,Anurag Kashyap,,Mexico,"May 01, 2012",2001,TV-Y,154 min,"Crime TV Shows, Comedies, TV Comedies",A movie about power set in Mexico.
s102,Movie,Silent Heart 102,Bong Joon-ho,,Egypt,"May 24, 2015",2009,NR,47 min,"TV Dramas, Horror Movies",A movie about love set in Egypt.
s103,Movie,Wild Storm 103,,"Song Kang-ho, Tilda Swinton, Saoirse Ronan, Idris Elba",Spain,"September 22, 2018",1999,NR,140 min,"Reality TV, British TV Shows",A movie about identity set in Spain.
s104,TV Show,Dark Garden 104,Park Chan-wook,"Zendaya, Lupita Nyong'o",United Kingdom,"July 08, 2010",1993,G,4 Seasons,Romantic Movies,A tv show about family set in United Kingdom.
s105,TV Show,Wild Kingdom 105,Ava DuVernay,"Zendaya, Florence Pugh",,"April 26, 2017",2019,G,8 Seasons,"Dramas, TV Comedies",A tv show about family set in an unnamed place.
s106,TV Show,Golden Garden 106,Martin Scorsese,"Viola Davis, Zendaya",Argentina,"March 03, 2017",2001,TV-Y,6 Seasons,"Anime Series, TV Comedies",A tv show about survival set in Argentina.
s107,Movie,Iron Project 107,Park Chan-wook,"Idris Elba, Lupita Nyong'o",France,"December 29, 2012",1990,PG-13,163 min,"Reality TV, Stand-Up Comedy, Music & Musicals",A movie about survival set in France.
s108,TV Show,Crimson Heart 108,Greta Gerwig,"Viola Davis, Florence Pugh",Indonesia,"May 08, 2008",2005,TV-14,1 Seasons,"International Movies, Horror Movies, Music & Musicals",A tv show about survival set in Indonesia.
s109,Movie,Frozen Garden 109,Martin Scorsese,"Deepika Padukone, Riz Ahmed, Mahershala Ali, Oscar Isaac",Indonesia,"March 11, 2015",2005,TV-PG,178 min,Stand-Up Comedy,A movie about family set in Indonesia.
s110,Movie,Frozen Code 110,Anurag Kashyap,"Daniel Kaluuya, Tom Hardy, Idris Elba, Tilda Swinton, Florence Pugh",Nigeria,"May 03, 2017",2016,TV-Y,92 min,"British TV Shows, Horror Movies, Independent Movies",A movie about family set in Nigeria.
s111,TV Show,Silent Truth 111,Martin Scorsese,"Saoirse Ronan, Penelope Cruz, Song Kang-ho, Daniel Kaluuya, Riz Ahmed",United Kingdom,"April 27, 2016",1995,R,1 Season,"Music & Musicals, International Movies, Comedies",A tv show about crime set in United Kingdom.
s112,TV Show,Velvet Memory 112,Bong Joon-ho,"Oscar Isaac, Zendaya, Tom Hardy, Song Kang-ho",Canada,"September 28, 2018",2005,R,7 Seasons,"Crime TV Shows, Sci-Fi & Fantasy, TV Comedies",A tv show about survival set in Canada.
s113,Movie,Eternal Storm 113,Pedro Almodovar,"Song Kang-ho, Florence Pugh, Mahershala Ali, Deepika Padukone, Idris Elba",Brazil,"January 09, 2009",2004,TV-MA,111 min,"Independent Movies, Music & Musicals, Stand-Up Comedy",A movie about family set in Brazil.
s114,Movie,Eternal Garden 114,Bong Joon-ho,"Lupita Nyong'o, Florence Pugh, Riz Ahmed, Deepika Padukone",Argentina,"November 25, 2015",2000,G,170 min,Reality TV,A movie about power set in Argentina.
s115,TV Show,Frozen Empire 115,Christopher Nolan,"Tom Hardy, Penelope Cruz",Spain,"May 22, 2011",1990,TV-Y7,6 Season,"Music & Musicals, British TV Shows, Independent Movies",A tv show about love set in Spain.
s116,Movie,Frozen Shadow 116,,"Oscar Isaac, Tom Hardy, Lupita Nyong'o, Mahershala Ali",Japan,"February 28, 2010",1999,NR,179 min,"TV Dramas, Children & Family Movies",A movie about survival set in Japan.
s117,Movie,Broken Heart 117,Ava DuVernay,"Viola Davis, Daniel Kaluuya",Italy,"April 04, 2009",1990,TV-14,172 min,"Crime TV Shows, Independent Movies",A movie about love set in Italy.
s118,TV Show,Bright Empire 118,,"Lupita Nyong'o, Tom Hardy, Viola Davis, Tilda Swinton, Saoirse Ronan",Philippines,"January 09, 2012",2010,,4 Seasons,"TV Comedies, Comedies, Sci-Fi & Fantasy",A tv show about crime set in Philippines.
s119,Movie,Velvet Project 119,Park Chan-wook,"Florence Pugh, Daniel Kaluuya, Mahershala Ali, Shah Rukh Khan",United Kingdom,"October 04, 2015",1993,R,64 min,"Music & Musicals, TV Comedies",A movie about family set in United Kingdom.
s120,Movie,Hidden Truth 120,Spike Lee,"Riz Ahmed, Shah Rukh Khan, Tilda Swinton, Oscar Isaac, Daniel Kaluuya",Indonesia,"July 11, 2013",1994,TV-PG,142 min,"Documentaries, TV Comedies, Crime TV Shows",A movie about family set in Indonesia.
s121,Movie,Lost Storm 121,Greta Gerwig,"Idris Elba, Penelope Cruz",China,"April 26, 2010",1991,G,68 min,"Music & Musicals, Crime TV Shows, TV Comedies",A movie about love set in China.
s122,Movie,Broken Truth 122,,"Idris Elba, Tilda Swinton, Penelope Cruz",Germany,"January 22, 2019",1999,TV-Y,115 min,"Sci-Fi & Fantasy, British TV Shows",A movie about love set in Germany.
s123,Movie,Crimson Memory 123,Mira Nair,"Song Kang-ho, Shah Rukh Khan, Saoirse Ronan, Tom Hardy, Penelope Cruz",Indonesia,"May 23, 2015",2018,NR,79 min,"Crime TV Shows, Thrillers",A movie about survival set in Indonesia.
s124,Movie,Broken Whisper 124,Ava DuVernay,"Tilda Swinton, Penelope Cruz, Saoirse Ronan",Italy,"August 24, 2020",2002,G,91 min,"Reality TV, Dramas, Anime Series",A movie about power set in Italy.
s125,Movie,Sacred Storm 125,Christopher Nolan,"Daniel Kaluuya, Shah Rukh Khan, Tilda Swinton, Saoirse Ronan, Song Kang-ho",France,"June 15, 2016",1994,NR,167 min,"TV Comedies, Reality TV, Korean TV Shows",A movie about power set in France.
s126,Movie,Lost Truth 126,Ava DuVernay,"Song Kang-ho, Florence Pugh",Brazil,"September 28, 2021",1992,TV-Y,129 min,"Action & Adventure, Dramas",A movie about love set in Brazil.
s127,Movie,Frozen Memory 127,Mira Nair,"Zendaya, Idris Elba, Penelope Cruz",Philippines,"May 19, 2011",2012,TV-Y7,71 min,"Stand-Up Comedy, Comedies",A movie about love set in Philippines.
